film,main_char,degree,betweenness
Clueless (film),CHER,3.2987533098149036,4.6882176646637586
Rapture (1965 film),SHARON,3.471224452398881,3.9218997849219335
The Sweet Hereafter (film),MITCHELL,2.871719376655571,3.8517023836503093
The Lincoln Lawyer (film),MICK,5.801671036198429,6.381864647303909
Agnes of God (film),MARTHA,3.725499674686197,4.105629531644922
The Change-Up,MITCH,2.944444444444444,2.4670537737636886
Larry Crowne,LARRY CROWNE,4.8784187061142,5.867979487817522
Ferris Buellers Day Off,FERRIS,5.501107629099898,7.357737531526443
House on Haunted Hill (1999 film),PRICE,1.5567572208993465,2.3880515079984432
The Sting,HOOKER,2.994596170827665,2.9522595547650394
Megamind,MASTER MIND,3.2785389737661315,3.9932711279788906
I Know What You Did Last Summer,Julie,2.4842360136324757,3.123094761001625
The Cell,CATHERINE,2.7759041407405634,3.1542380750762993
Highlander III: The Sorcerer,MCCLEOD,3.841371547447424,4.285564674080287
SubUrbia (film),JEFF,1.0912992559028278,0.1973393034480012
Deception (2008 film),JONATHAN,5.526237687282541,5.7383835476545
Case 39,EMILY,4.873397172404481,4.98364867204154
Scarface (1983 film),TONY,5.9512676579615515,6.306113490442839
The Verdict,GALVIN,4.376584090656414,5.479779014939991
Get Low (film),BUSH,1.6894735829998413,1.987246895299503
Petulia,ARCHIE,4.428450423793605,5.377691538792482
White Angel (1994 film),STECKLER,2.567171911193643,2.632297770782172
WALL-E,CAPTAIN,3.306536921240167,4.25492038121093
The Truman Show,TRUMAN,4.769506782241574,5.400759762264302
Being Human (film),HECTOR,6.556722749337907,7.032436940442645
Celeste and Jesse Forever,CELESTE,4.034539869888819,4.627262391664221
All About Steve,MARY,5.027666274448579,5.99119695683234
Queen of the Damned,LESTAT,3.440014248609237,4.268231857790412
Hitchcock (film),ALFRED HITCHCOCK,4.539463508577291,5.220784825488567
Friday the 13th Part VIII: Jason Takes Manhattan,RENNIE,2.743184734030998,3.0419950264305116
Monkeybone,STU,4.342733867225274,4.964644691361205
The Nines,GARY,0.6187184335382294,1.5144802821536938
A Serious Man,LARRY,5.398001020045009,6.22982113672613
Saving Private Ryan,MILLER,3.9244628232032253,5.028527308959982
Jennifer 8,BERLIN,3.528498993035641,4.396258594173041
