film,main_char,gender,top_topic
Nashville (film),triplette,0.0,9
Nashville (film),tom,0.0,8
Nashville (film),barnett,0.0,9
Nashville (film),linnea,1.0,9
Nashville (film),kenny,0.0,6
Nashville (film),green,1.0,9
Nashville (film),reese,1.0,8
Nashville (film),opal,0.0,8
Nashville (film),bill,0.0,8
Nashville (film),barbara jean,1.0,9
Nashville (film),wade,0.0,9
Nashville (film),albuquerque,1.0,9
Nashville (film),norman,0.0,9
Nashville (film),mary,1.0,6
The Pacifier,shane,0.0,25
The Bonfire of the Vanities (film),sherman,0.0,6
The Bonfire of the Vanities (film),peter,0.0,3
The Bonfire of the Vanities (film),maria,1.0,9
The Hitchhikers Guide to the Galaxy (film),arthur,0.0,8
The Hitchhikers Guide to the Galaxy (film),ford,0.0,25
The Hitchhikers Guide to the Galaxy (film),zaphod,1.0,6
Enemy of the State (film),dean,0.0,6
Return to Me,bob,0.0,8
Return to Me,grace,1.0,8
No Strings Attached (film),adam,0.0,6
No Strings Attached (film),emma,1.0,6
Backdraft (film),brian,0.0,6
Backdraft (film),stephen,0.0,6
Backdraft (film),shadow,0.0,6
Malibus Most Wanted,brad,0.0,2
Malibus Most Wanted,sean,0.0,6
Malibus Most Wanted,bill,0.0,17
Malibus Most Wanted,pj,1.0,2
Malibus Most Wanted,tom,0.0,6
Hancock (film),mary,1.0,25
Hancock (film),hancock,0.0,25
Hancock (film),horus,0.0,25
Hancock (film),aaron,0.0,8
The Lord of the Rings: The Return of the King,gandalf,0.0,22
The Lord of the Rings: The Return of the King,sam,0.0,9
The Lord of the Rings: The Return of the King,frodo,0.0,6
The Lord of the Rings: The Return of the King,pippin,0.0,6
The Lord of the Rings: The Return of the King,aragorn,0.0,22
The Lord of the Rings: The Return of the King,gollum,0.0,9
The Lord of the Rings: The Return of the King,denethor,1.0,22
The Lord of the Rings: The Return of the King,merry,1.0,9
Star Trek II: The Wrath of Khan,kirk,0.0,12
Star Trek II: The Wrath of Khan,spock,0.0,12
Charade (1963 film),reggie,1.0,8
The Kings Speech,bertie,1.0,22
The Kings Speech,lionel,0.0,22
The Girl with the Dragon Tattoo (2011 film),blomkvist,0.0,9
The Girl with the Dragon Tattoo (2011 film),salander,0.0,8
American Splendor (film),harvey,0.0,6
American Splendor (film),joyce,1.0,8
Poetic Justice (film),lucky,1.0,8
Poetic Justice (film),justice,1.0,8
Poetic Justice (film),chicago,1.0,2
Poetic Justice (film),jessie,1.0,8
Finding Nemo,marlin,0.0,8
Finding Nemo,dory,0.0,8
Finding Nemo,nemo,0.0,22
Major League (film),taylor,0.0,6
Major League (film),brown,0.0,6
Major League (film),lynn,1.0,9
Chinatown (1974 film),gittes,1.0,9
Chinatown (1974 film),evelyn,1.0,9
Malcolm X (film),malcolm,0.0,9
Feast (film),heroine,1.0,25
Feast (film),bozo,1.0,25
Feast (film),boss man,0.0,6
Feast (film),bartender,0.0,25
Walking Tall (2004 film),chris,0.0,6
Eagle Eye,jerry,0.0,6
Eagle Eye,rachel,1.0,6
Eagle Eye,morgan,0.0,10
Grosse Pointe Blank,martin,0.0,8
Grosse Pointe Blank,debi,1.0,8
War of the Worlds (2005 film),clayton,0.0,25
War of the Worlds (2005 film),sylvia,1.0,10
The Life and Death of Colonel Blimp,clive,0.0,9
The Birds (film),melanie,1.0,9
The Birds (film),mitch,0.0,9
The Birds (film),lydia,1.0,9
Cinema Paradiso,salvatore,0.0,25
Cinema Paradiso,alfredo,1.0,9
JFK (film),jim,0.0,3
Clueless (film),cher,1.0,6
Rapture (1965 film),sharon,1.0,9
The Sweet Hereafter (film),mitchell,0.0,9
The Sweet Hereafter (film),nicole,1.0,9
The Sweet Hereafter (film),dolores,1.0,9
The Sweet Hereafter (film),billy,0.0,9
The Lincoln Lawyer (film),mick,0.0,11
Agnes of God (film),martha,1.0,9
Agnes of God (film),agnes,1.0,9
Agnes of God (film),mother miriam,1.0,9
The Change-Up,mitch,0.0,5
The Change-Up,dave,0.0,6
Larry Crowne,larry crowne,1.0,6
Larry Crowne,talia,0.0,15
Ferris Buellers Day Off,ferris,0.0,6
Ferris Buellers Day Off,cameron,0.0,6
Ferris Buellers Day Off,sloane,0.0,6
House on Haunted Hill (1999 film),price,1.0,6
House on Haunted Hill (1999 film),sara,1.0,6
House on Haunted Hill (1999 film),pritchett,1.0,6
House on Haunted Hill (1999 film),eddie,1.0,6
House on Haunted Hill (1999 film),evelyn,1.0,6
House on Haunted Hill (1999 film),blackburn,0.0,6
The Sting,hooker,0.0,8
Megamind,master mind,0.0,8
Megamind,roxanne,1.0,6
Megamind,titan,0.0,6
I Know What You Did Last Summer,julie,1.0,6
I Know What You Did Last Summer,helen,1.0,6
I Know What You Did Last Summer,barry,1.0,6
I Know What You Did Last Summer,ray,0.0,6
The Cell,catherine,1.0,25
The Cell,novak,1.0,25
The Cell,miriam,1.0,3
Highlander III: The Sorcerer,jennifer,1.0,6
SubUrbia (film),jeff,0.0,6
SubUrbia (film),buff,0.0,6
SubUrbia (film),tim,0.0,6
SubUrbia (film),pony,1.0,6
Deception (2008 film),jonathan,0.0,8
Deception (2008 film),wyatt,0.0,8
Case 39,emily,1.0,8
Case 39,lucy,1.0,25
Scarface (1983 film),tony,0.0,23
The Verdict,galvin,1.0,8
Get Low (film),bush,0.0,9
Get Low (film),frank,0.0,9
Get Low (film),buddy,0.0,9
Get Low (film),mattie,0.0,9
Petulia,archie,1.0,8
